Time,Device name,Chip Time(),Acceleration X(g),Acceleration Y(g),Acceleration Z(g),Angular velocity X(°/s),Angular velocity Y(°/s),Angular velocity Z(°/s),Angle X(°),Angle Y(°),Angle Z(°),Magnetic field X(ʯt),Magnetic field Y(ʯt),Magnetic field Z(ʯt),Temperature(℃),Quaternions 0(),Quaternions 1(),Quaternions 2(),Quaternions 3()
 15:56:49.661,d7:c3:4a:8c:31:30, 2015-01-01 00:37:44.125, 0.145, 0.06, 1.017, 0, 0, 0, 3.384, -8.069, -80.991, -15.974, 3.724, 14.798, 24.95, -0.75952, 0.02325, 0.0726, 0.6459,
 15:56:49.804,d7:c3:4a:8c:31:30, 2015-01-01 00:37:44.125, 0.144, 0.06, 1.017, 0, 0, 0, 3.384, -8.069, -80.991, -15.974, 3.724, 14.798, 24.95, -0.75952, 0.02325, 0.0726, 0.6459,
 15:56:49.871,d7:c3:4a:8c:31:30, 2015-01-01 00:37:44.125, 0.144, 0.06, 1.017, 0, 0, 0, 3.384, -8.069, -80.991, -15.974, 3.724, 14.896, 24.95, -0.75952, 0.02325, 0.0726, 0.6459,
 15:56:50.018,d7:c3:4a:8c:31:30, 2015-01-01 00:37:44.125, 0.144, 0.061, 1.017, 0, 0, 0, 3.384, -8.069, -80.991, -15.974, 3.724, 14.896, 24.95, -0.75952, 0.02325, 0.0726, 0.6459,
 15:56:50.081,d7:c3:4a:8c:31:30, 2015-01-01 00:37:44.600, -0.023, 0.061, 1.017, 0, 0, 0, 3.384, -8.069, -80.991, -15.974, 3.724, 14.896, 24.95, -0.75952, 0.02325, 0.0726, 0.6459,
 15:56:50.172,d7:c3:4a:8c:31:30, 2015-01-01 00:37:44.600, 0.05, -0.01, 1.004, 0.366, -10.071, 1.892, 3.334, -7.674, -81.14, -15.974, 3.724, 14.896, 24.95, -0.75952, 0.02325, 0.0726, 0.6459,
 15:56:50.322,d7:c3:4a:8c:31:30, 2015-01-01 00:37:44.600, 0.11, 0.004, 1.021, -4.089, 2.747, -11.597, 3.389, -8.833, -81.722, -15.876, 3.626, 14.798, 24.95, -0.75952, 0.02325, 0.0726, 0.6459,
 15:56:50.380,d7:c3:4a:8c:31:30, 2015-01-01 00:37:44.600, -0.03, 0.009, 1.003, 43.335, 11.108, -1.892, 0.615, -8.212, -82.26, -15.876, 3.626, 14.798, 24.95, -0.75555, 0.02829, 0.06781, 0.65085,
 15:56:50.508,d7:c3:4a:8c:31:30, 2015-01-01 00:37:45.015, -0.124, 0.146, 1.175, -31.799, 55.115, 43.762, 1.686, 3.17, -77.997, -15.876, 3.626, 14.798, 24.95, -0.75555, 0.02829, 0.06781, 0.65085,
 15:56:50.603,d7:c3:4a:8c:31:30, 2015-01-01 00:37:45.015, -0.303, 0.031, 1.021, -3.174, -7.69, 82.275, 1.736, 2.642, -73.718, -15.876, 3.626, 14.798, 24.95, -0.75555, 0.02829, 0.06781, 0.65085,
 15:56:50.686,d7:c3:4a:8c:31:30, 2015-01-01 00:37:45.015, 0.057, 0.482, 4, -2.625, 40.039, 162.903, 0.956, 1.873, -61.359, -15.288, 3.724, 14.210, 24.95, -0.75555, 0.02829, 0.06781, 0.65085,
 15:56:50.820,d7:c3:4a:8c:31:30, 2015-01-01 00:37:45.015, -0.051, -0.376, 0.794, 18.433, -71.838, 176.575, 1.835, -1.697, -45.78, -15.288, 3.724, 14.210, 24.95, -0.94315, -0.00555, 0.0434, 0.32932,
 15:56:50.898,d7:c3:4a:8c:31:30, 2015-01-01 00:37:45.405, 0.292, -0.333, 0.424, 35.828, -14.832, 181.458, 2.62, -6.059, -30.037, -15.288, 3.724, 14.210, 24.95, -0.94315, -0.00555, 0.0434, 0.32932,
 15:56:50.951,d7:c3:4a:8c:31:30, 2015-01-01 00:37:45.405, 0.053, 0.259, 1.69, 77.209, -3.723, 152.832, 1.62, -4.471, -16.15, -15.288, 3.724, 14.210, 24.95, -0.94315, -0.00555, 0.0434, 0.32932,
 15:56:51.112,d7:c3:4a:8c:31:30, 2015-01-01 00:37:45.405, -0.157, -0.307, 0.987, 12.512, 35.889, 162.537, 1.522, -1.56, -3.378, -13.622, 3.724, 12.152, 24.95, -0.94315, -0.00555, 0.0434, 0.32932,
 15:56:51.171,d7:c3:4a:8c:31:30, 2015-01-01 00:37:45.405, 0.701, -0.609, 0.679, 22.278, 8.179, 165.161, 2.499, -0.615, 8.767, -13.622, 3.724, 12.152, 24.95, -0.99677, -0.02216, 0.00369, -0.07654,
 15:56:51.283,d7:c3:4a:8c:31:30, 2015-01-01 00:37:45.820, -0.103, 0.6, 2.341, 25.574, 143.311, 128.723, 3.246, 3.752, 18.292, -13.622, 3.724, 12.152, 24.95, -0.99677, -0.02216, 0.00369, -0.07654,
 15:56:51.416,d7:c3:4a:8c:31:30, 2015-01-01 00:37:45.820, 0.073, 0.368, 1.563, -3.479, -52.917, 158.813, 3.697, 6.147, 28.927, -13.622, 3.724, 12.152, 24.95, -0.99677, -0.02216, 0.00369, -0.07654,
 15:56:51.491,d7:c3:4a:8c:31:30, 2015-01-01 00:37:45.820, 0.122, -0.011, 0.642, 5.493, -20.813, 173.828, 5.911, 2.236, 39.88, -12.642, 3.822, 11.270, 24.95, -0.99677, -0.02216, 0.00369, -0.07654,
 15:56:51.552,d7:c3:4a:8c:31:30, 2015-01-01 00:37:45.820, 0.074, -0.181, 0.969, 15.503, 41.687, 175.11, 7.015, -0.654, 50.894, -12.642, 3.822, 11.270, 24.95, -0.90546, -0.05814, -0.01834, -0.41992,
 15:56:51.731,d7:c3:4a:8c:31:30, 2015-01-01 00:37:46.180, 0.192, 0.026, 0.49, -32.776, 35.217, 185.059, 6.669, -1.681, 62.067, -12.642, 3.822, 11.270, 24.95, -0.90546, -0.05814, -0.01834, -0.41992,
 15:56:51.761,d7:c3:4a:8c:31:30, 2015-01-01 00:37:46.180, 0.107, -0.294, 0.923, 61.768, -20.63, 153.503, 9.564, -4.092, 71.911, -12.642, 3.822, 11.270, 24.95, -0.90546, -0.05814, -0.01834, -0.41992,
 15:56:51.882,d7:c3:4a:8c:31:30, 2015-01-01 00:37:46.180, -0.005, 0.011, 0.597, 10.071, 45.898, 149.963, 9.822, -2.626, 81.063, -11.858, 3.822, 10.192, 24.95, -0.73251, -0.06418, -0.05252, -0.67563,
 15:56:52.033,d7:c3:4a:8c:31:30, 2015-01-01 00:37:46.505, 0.061, -0.004, 1.334, 4.028, -0.488, 155.518, 9.124, 0.467, 90.275, -11.858, 3.822, 10.192, 24.95, -0.73251, -0.06418, -0.05252, -0.67563,
 15:56:52.091,d7:c3:4a:8c:31:30, 2015-01-01 00:37:46.505, 0.073, -0.078, 1.188, 13.916, -17.639, 158.813, 9.465, -1.055, 99.179, -11.858, 3.822, 10.192, 24.95, -0.73251, -0.06418, -0.05252, -0.67563,
 15:56:52.202,d7:c3:4a:8c:31:30, 2015-01-01 00:37:46.505, 0.11, -0.028, 0.74, 2.869, 16.785, 155.823, 9.767, -3.818, 118.856, -12.250, 3.724, 10.584, 24.95, -0.73251, -0.06418, -0.05252, -0.67563,
 15:56:52.328,d7:c3:4a:8c:31:30, 2015-01-01 00:37:46.865, -0.104, -0.091, 0.866, 9.277, 10.132, 161.682, 8.718, -6.855, 141.553, -12.250, 3.724, 10.584, 24.95, -0.31393, -0.08145, -0.05194, -0.94446,
 15:56:52.361,d7:c3:4a:8c:31:30, 2015-01-01 00:37:46.865, 0.022, -0.172, -0.122, -62.622, 33.936, 177.979, 3.939, -8.427, 164.844, -12.250, 3.724, 10.584, 24.95, -0.31393, -0.08145, -0.05194, -0.94446,
 15:56:52.498,d7:c3:4a:8c:31:30, 2015-01-01 00:37:46.865, 0.136, 0.021, 1.071, 13.977, 14.709, 175.598, 2.571, -10.289, -172.381, -12.250, 3.724, 10.584, 24.95, -0.31393, -0.08145, -0.05194, -0.94446,
 15:56:52.604,d7:c3:4a:8c:31:30, 2015-01-01 00:37:46.865, 0.125, -0.06, 1.025, 19.348, 3.052, 172.668, 0.5, -11.03, -150.024, -15.190, 3.626, 14.112, 24.95, -0.31393, -0.08145, -0.05194, -0.94446,
 15:56:52.741,d7:c3:4a:8c:31:30, 2015-01-01 00:37:47.280, 0.118, -0.086, 1.031, 23.071, 0.916, 171.082, -1.395, -10.426, -128.644, -15.190, 3.626, 14.112, 24.95, 0.46219, -0.08548, -0.0289, -0.88211,
 15:56:52.786,d7:c3:4a:8c:31:30, 2015-01-01 00:37:47.280, 0.275, -0.083, 0.987, 8.728, 12.634, 170.837, -2.642, -8.525, -108.732, -15.190, 3.626, 14.112, 24.95, 0.46219, -0.08548, -0.0289, -0.88211,
 15:56:52.917,d7:c3:4a:8c:31:30, 2015-01-01 00:37:47.280, 0.147, -0.154, 0.987, 19.714, 16.907, 173.34, -4.224, -7.174, -89.94, -15.190, 3.626, 14.112, 24.95, 0.46219, -0.08548, -0.0289, -0.88211,
 15:56:52.976,d7:c3:4a:8c:31:30, 2015-01-01 00:37:47.280, 0.003, -0.147, 0.907, 0.916, 2.625, 170.349, -4.548, -5.433, -72.142, -15.092, 3.822, 13.818, 24.95, 0.46219, -0.08548, -0.0289, -0.88211,
 15:56:53.094,d7:c3:4a:8c:31:30, 2015-01-01 00:37:47.280, 0.029, -0.352, 0.876, 8.911, 45.715, 173.218, -4.213, -2.032, -55.811, -15.092, 3.822, 13.818, 24.95, 0.88913, -0.03845, 0.00189, -0.4559,
 15:56:53.224,d7:c3:4a:8c:31:30, 2015-01-01 00:37:47.700, 0.16, -0.306, 0.809, 18.982, 31.006, 169.067, -2.939, -0.401, -40.474, -15.092, 3.822, 13.818, 24.95, 0.88913, -0.03845, 0.00189, -0.4559,
 15:56:53.292,d7:c3:4a:8c:31:30, 2015-01-01 00:37:47.700, 0.005, 0.094, 1.155, 11.414, -8.057, 163.33, -1.862, 1.445, -25.961, -15.092, 3.822, 13.818, 24.95, 0.88913, -0.03845, 0.00189, -0.4559,
 15:56:53.443,d7:c3:4a:8c:31:30, 2015-01-01 00:37:47.700, -0.302, -0.048, 0.223, 0.916, 72.327, 140.015, 0.374, 2.043, -13.53, -13.132, 3.822, 11.662, 24.95, 0.88913, -0.03845, 0.00189, -0.4559,
 15:56:53.531,d7:c3:4a:8c:31:30, 2015-01-01 00:37:47.700, 0.2, -0.322, 0.201, -116.455, 126.038, 138.855, -1.038, 8.992, -3.032, -13.132, 3.822, 11.662, 24.95, 0.99744, 0.00851, 0.07016, -0.00571,
 15:56:53.600,d7:c3:4a:8c:31:30, 2015-01-01 00:37:48.145, -0.05, 0.19, 1.422, 10.071, -66.711, 163.94, 1.703, 5.482, 8.344, -13.132, 3.822, 11.662, 24.95, 0.99744, 0.00851, 0.07016, -0.00571,
 15:56:53.763,d7:c3:4a:8c:31:30, 2015-01-01 00:37:48.145, 0.038, -0.538, 0.977, 38.147, -6.348, 179.26, 3.988, 3.104, 20.654, -13.132, 3.822, 11.662, 24.95, 0.99744, 0.00851, 0.07016, -0.00571,
 15:56:53.772,d7:c3:4a:8c:31:30, 2015-01-01 00:37:48.145, 0.082, -0.348, 0.399, 8.667, 27.344, 175.72, 5.702, 0.494, 32.3, -12.446, 3.920, 10.878, 24.95, 0.99744, 0.00851, 0.07016, -0.00571,
