Time,Device name,Chip Time(),Acceleration X(g),Acceleration Y(g),Acceleration Z(g),Angular velocity X(°/s),Angular velocity Y(°/s),Angular velocity Z(°/s),Angle X(°),Angle Y(°),Angle Z(°),Magnetic field X(ʯt),Magnetic field Y(ʯt),Magnetic field Z(ʯt),Temperature(℃),Quaternions 0(),Quaternions 1(),Quaternions 2(),Quaternions 3()
 15:32:51.416,d7:c3:4a:8c:31:30, 2015-01-01 00:01:21.070, -0.234, 0.347, 0.88, 3.357, 92.957, 159.973, 31.937, 2.626, 108.133, 69.384, -0.392, -83.300, 25.09, -0.73462, -0.18927, -0.19373, -0.62201,
 15:32:52.059,d7:c3:4a:8c:31:30, 2015-01-01 00:01:21.070, -0.23, 0.569, 1.145, -11.841, 98.816, 168.152, 31.586, 2.488, 123.217, 69.384, -0.392, -83.300, 25.09, -0.73462, -0.18927, -0.19373, -0.62201,
 15:32:52.060,d7:c3:4a:8c:31:30, 2015-01-01 00:01:21.070, 0.145, 0.443, 0.117, -99.243, 39.368, 178.406, 31.965, 4.614, 139.048, 69.384, -0.392, -83.300, 25.09, -0.73462, -0.18927, -0.19373, -0.62201,
 15:32:52.060,d7:c3:4a:8c:31:30, 2015-01-01 00:01:21.070, -0.4, 0.466, 0.842, 5.127, 108.765, 167.175, 31.415, 4.07, 153.578, 69.384, -0.392, -83.300, 25.09, -0.73462, -0.18927, -0.19373, -0.62201,
 15:32:52.060,d7:c3:4a:8c:31:30, 2015-01-01 00:01:21.070, -0.185, 0.553, 0.895, -17.578, 109.436, 174.866, 32.3, 3.807, 168.08, 69.384, -0.392, -83.300, 25.09, -0.73462, -0.18927, -0.19373, -0.62201,
 15:32:52.060,d7:c3:4a:8c:31:30, 2015-01-01 00:01:21.070, -0.085, 0.554, 0.844, -15.564, 106.995, 198.669, 32.992, 2.78, -176.539, 69.384, -0.392, -83.300, 25.09, -0.73462, -0.18927, -0.19373, -0.62201,
 15:32:52.060,d7:c3:4a:8c:31:30, 2015-01-01 00:01:21.070, -0.399, 0.507, 1.157, -28.198, 95.764, 187.5, 32.151, 2.774, -160.801, 69.384, -0.392, -83.300, 25.09, -0.73462, -0.18927, -0.19373, -0.62201,
 15:32:52.067,d7:c3:4a:8c:31:30, 2015-01-01 00:01:21.070, -0.351, 0.615, 0.983, -20.203, 103.027, 187.378, 32.415, 2.186, -146.459, 57.134, -0.294, -76.342, 25.09, -0.73462, -0.18927, -0.19373, -0.62201,
 15:32:52.189,d7:c3:4a:8c:31:30, 2015-01-01 00:01:21.070, -0.087, 0.458, 0.652, -33.081, 96.741, 188.538, 32.206, 0.95, -131.825, 57.134, -0.294, -76.342, 25.09, 0.43784, 0.12665, -0.23767, -0.8577,
 15:32:52.327,d7:c3:4a:8c:31:30, 2015-01-01 00:01:21.900, -0.452, 0.356, 0.727, 4.456, 100.769, 177.734, 30.619, 0.242, -116.68, 57.134, -0.294, -76.342, 25.09, 0.43784, 0.12665, -0.23767, -0.8577,
