Time,Device name,Chip Time(),Acceleration X(g),Acceleration Y(g),Acceleration Z(g),Angular velocity X(°/s),Angular velocity Y(°/s),Angular velocity Z(°/s),Angle X(°),Angle Y(°),Angle Z(°),Magnetic field X(ʯt),Magnetic field Y(ʯt),Magnetic field Z(ʯt),Temperature(℃),Quaternions 0(),Quaternions 1(),Quaternions 2(),Quaternions 3()
 15:33:52.307,d7:c3:4a:8c:31:30, 2015-01-01 00:02:21.335, -0.304, 1.081, 1.067, 12.207, 129.578, 138, 52.031, 6.454, -176.649, 71.540, -0.294, -82.516, 25.25, -0.38583, -0.10226, -0.41278, -0.81863,
 15:33:52.471,d7:c3:4a:8c:31:30, 2015-01-01 00:02:21.335, -0.352, 0.804, 0.577, -38.574, 118.286, 135.742, 51.729, 5.054, -165.531, 68.894, -0.490, -78.008, 25.25, 0.15317, 0.12241, -0.42212, -0.88504,
 15:33:52.486,d7:c3:4a:8c:31:30, 2015-01-01 00:02:21.725, -0.252, 0.671, 0.56, -12.695, 140.137, 122.559, 51.927, 4.62, -153.864, 68.894, -0.490, -78.008, 25.25, 0.15317, 0.12241, -0.42212, -0.88504,
 15:33:52.606,d7:c3:4a:8c:31:30, 2015-01-01 00:02:21.725, -0.327, 0.677, 0.57, -1.953, 140.381, 126.038, 52.196, 3.444, -142.377, 68.894, -0.490, -78.008, 25.25, 0.15317, 0.12241, -0.42212, -0.88504,
 15:33:52.759,d7:c3:4a:8c:31:30, 2015-01-01 00:02:21.725, -0.491, 0.681, 0.611, -4.639, 146.484, 117.493, 51.103, 2.494, -123.915, 59.094, -0.392, -71.932, 25.25, 0.15317, 0.12241, -0.42212, -0.88504,
 15:33:52.817,d7:c3:4a:8c:31:30, 2015-01-01 00:02:21.725, 0.074, 0.455, 0.425, -80.444, 103.027, 133.85, 47.988, 4.142, -99.058, 59.094, -0.392, -71.932, 25.25, 0.61392, 0.29007, -0.26889, -0.68304,
 15:33:52.928,d7:c3:4a:8c:31:30, 2015-01-01 00:02:22.110, -0.468, 0.725, 0.571, -34.363, 135.376, 124.756, 46.774, 4.828, -75.284, 59.094, -0.392, -71.932, 25.25, 0.61392, 0.29007, -0.26889, -0.68304,
 15:33:53.060,d7:c3:4a:8c:31:30, 2015-01-01 00:02:22.110, -0.4, 0.635, 0.588, -36.011, 138, 128.296, 45.176, 6.015, -51.306, 59.094, -0.392, -71.932, 25.25, 0.61392, 0.29007, -0.26889, -0.68304,
 15:33:53.087,d7:c3:4a:8c:31:30, 2015-01-01 00:02:22.110, -0.193, 0.681, 0.771, -18.494, 149.109, 127.197, 44.308, 7.674, -27.828, 61.152, -0.196, -81.438, 25.25, 0.61392, 0.29007, -0.26889, -0.68304,
 15:33:53.285,d7:c3:4a:8c:31:30, 2015-01-01 00:02:22.110, -0.424, 0.815, 0.548, -37.354, 149.475, 127.319, 44.703, 9.509, -5.488, 61.152, -0.196, -81.438, 25.25, 0.92029, 0.38077, 0.0675, -0.0585,
