Time,Device name,Chip Time(),Acceleration X(g),Acceleration Y(g),Acceleration Z(g),Angular velocity X(°/s),Angular velocity Y(°/s),Angular velocity Z(°/s),Angle X(°),Angle Y(°),Angle Z(°),Magnetic field X(ʯt),Magnetic field Y(ʯt),Magnetic field Z(ʯt),Temperature(℃),Quaternions 0(),Quaternions 1(),Quaternions 2(),Quaternions 3()
 15:59:15.402,d7:c3:4a:8c:31:30, 2015-01-01 00:40:08.880, 0.142, 0.045, 1.019, 0, 0, 0, 2.576, -7.916, -80.376, -15.582, 3.626, 14.798, 25.11, 0.76288, -0.02737, -0.06717, -0.64236,
 15:59:15.508,d7:c3:4a:8c:31:30, 2015-01-01 00:40:08.880, 0.141, 0.047, 1.018, 0, 0, 0, 2.576, -7.916, -80.376, -15.582, 3.626, 14.798, 25.11, 0.76288, -0.02737, -0.06717, -0.64236,
 15:59:15.582,d7:c3:4a:8c:31:30, 2015-01-01 00:40:08.880, 0.141, 0.047, 1.02, 0, 0, 0, 2.576, -7.916, -80.376, -15.582, 3.626, 14.896, 25.11, 0.76288, -0.02737, -0.06717, -0.64236,
 15:59:15.725,d7:c3:4a:8c:31:30, 2015-01-01 00:40:09.265, 0.135, 0.046, 1.018, 0, 0, 0, 2.576, -7.916, -80.376, -15.582, 3.626, 14.896, 25.11, 0.76285, -0.02737, -0.0672, -0.6424,
 15:59:15.778,d7:c3:4a:8c:31:30, 2015-01-01 00:40:09.265, 0.125, 0, 0.998, 3.54, -13.306, -2.869, 2.626, -8.075, -80.42, -15.582, 3.626, 14.896, 25.11, 0.76285, -0.02737, -0.0672, -0.6424,
 15:59:15.885,d7:c3:4a:8c:31:30, 2015-01-01 00:40:09.265, 0.193, 0.044, 1.022, -0.61, 3.296, -0.671, 2.703, -8.108, -80.486, -15.582, 3.626, 14.896, 25.11, 0.76285, -0.02737, -0.0672, -0.6424,
 15:59:16.001,d7:c3:4a:8c:31:30, 2015-01-01 00:40:09.265, 0.037, 0.033, 1, -1.709, 13.123, -3.357, 2.73, -8.394, -80.557, -15.680, 3.724, 14.896, 25.11, 0.76285, -0.02737, -0.0672, -0.6424,
 15:59:16.101,d7:c3:4a:8c:31:30, 2015-01-01 00:40:09.685, -0.009, 0.028, 1.033, -2.014, 23.193, -5.249, 2.571, -7.086, -80.771, -15.680, 3.724, 14.896, 25.11, 0.76093, -0.02295, -0.061, -0.64548,
 15:59:16.217,d7:c3:4a:8c:31:30, 2015-01-01 00:40:09.685, -0.017, 0.191, 1.199, -19.714, 108.704, -0.061, 2.461, -2.807, -79.695, -15.680, 3.724, 14.896, 25.11, 0.76093, -0.02295, -0.061, -0.64548,
 15:59:16.300,d7:c3:4a:8c:31:30, 2015-01-01 00:40:09.685, -0.316, 0.003, 0.823, 4.639, -43.274, 64.514, 1.923, 0.851, -75.833, -15.680, 3.724, 14.896, 25.11, 0.76093, -0.02295, -0.061, -0.64548,
