Time,Device name,Chip Time(),Acceleration X(g),Acceleration Y(g),Acceleration Z(g),Angular velocity X(°/s),Angular velocity Y(°/s),Angular velocity Z(°/s),Angle X(°),Angle Y(°),Angle Z(°),Magnetic field X(ʯt),Magnetic field Y(ʯt),Magnetic field Z(ʯt),Temperature(℃),Quaternions 0(),Quaternions 1(),Quaternions 2(),Quaternions 3()
 15:47:36.904,d7:c3:4a:8c:31:30, 2015-01-01 00:06:06.445, 0.451, 0.135, 0.809, 35.034, 26.184, 157.349, -0.06, -13.991, -63.375, -13.328, 2.156, 8.134, 28.04, 0.76938, -0.00317, 0.01428, -0.63852,
 15:47:36.906,d7:c3:4a:8c:31:30, 2015-01-01 00:06:06.445, 0.158, 0.654, 3.303, 7.507, 63.11, 168.518, -0.549, -11.409, -47.884, -13.328, 2.156, 8.134, 28.04, 0.87158, -0.05905, -0.10419, -0.47528,
 15:47:36.906,d7:c3:4a:8c:31:30, 2015-01-01 00:06:06.445, 0.145, 0.094, 1.152, 15.32, 9.766, 178.162, -1.593, -9.448, -32.629, -13.328, 2.156, 8.134, 28.04, 0.87158, -0.05905, -0.10419, -0.47528,
 15:47:36.994,d7:c3:4a:8c:31:30, 2015-01-01 00:06:06.445, 0.114, -0.02, 1.101, 41.626, -3.54, 177.673, -1.296, -9.613, -17.913, -13.328, 2.156, 8.134, 28.04, 0.87158, -0.05905, -0.10419, -0.47528,
 15:47:37.053,d7:c3:4a:8c:31:30, 2015-01-01 00:06:07.160, 0.157, 0.025, 2.029, 24.17, 7.019, 168.091, -0.764, -9.13, -4.048, -13.328, 2.156, 8.134, 28.04, 0.87158, -0.05905, -0.10419, -0.47528,
 15:47:37.215,d7:c3:4a:8c:31:30, 2015-01-01 00:06:07.160, -0.019, 0.207, 0.933, 12.878, 33.203, 176.88, -1.456, -9.492, 9.152, -13.328, 2.156, 8.134, 28.04, 0.87158, -0.05905, -0.10419, -0.47528,
 15:47:37.263,d7:c3:4a:8c:31:30, 2015-01-01 00:06:07.160, 0.058, 0.071, 0.822, 21.301, 9.827, 180.237, -1.686, -7.586, 21.923, -10.388, 1.862, 6.468, 28.04, 0.87158, -0.05905, -0.10419, -0.47528,
 15:47:37.433,d7:c3:4a:8c:31:30, 2015-01-01 00:06:07.485, 0.158, 0.301, 0.456, 11.169, -36.255, 174.5, -1.939, -7.18, 33.717, -10.388, 1.862, 6.468, 28.04, 0.94769, 0.00339, -0.07101, 0.31097,
 15:47:37.473,d7:c3:4a:8c:31:30, 2015-01-01 00:06:07.485, -0.637, 0.149, 0.863, 20.63, 26.367, 171.997, -2.626, -8.948, 44.885, -10.388, 1.862, 6.468, 28.04, 0.94769, 0.00339, -0.07101, 0.31097,
 15:47:37.599,d7:c3:4a:8c:31:30, 2015-01-01 00:06:07.485, 0.193, 0.057, 2.391, -10.01, 30.151, 126.648, -3.862, -9.053, 55.184, -10.388, 1.862, 6.468, 28.04, 0.94769, 0.00339, -0.07101, 0.31097,
 15:47:37.686,d7:c3:4a:8c:31:30, 2015-01-01 00:06:07.485, 0.272, -0.186, 0.216, 44.25, -164.673, 169.495, -2.109, -12.601, 63.484, -12.250, 1.862, 6.272, 28.04, 0.94769, 0.00339, -0.07101, 0.31097,
 15:47:37.812,d7:c3:4a:8c:31:30, 2015-01-01 00:06:07.485, 0.031, 0.137, 0.544, 23.56, 37.781, 154.053, -3.181, -13.035, 72.581, -12.250, 1.862, 6.272, 28.04, 0.79453, 0.04227, -0.10468, 0.59656,
 15:47:37.917,d7:c3:4a:8c:31:30, 2015-01-01 00:06:07.905, 0.108, 0.034, 1.157, 23.56, 6.592, 171.265, -4.823, -9.492, 83.205, -12.250, 1.862, 6.272, 28.04, 0.79453, 0.04227, -0.10468, 0.59656,
 15:47:37.982,d7:c3:4a:8c:31:30, 2015-01-01 00:06:07.905, 0.101, -0.022, 0.75, 14.343, -2.625, 169.678, -6.405, -8.366, 93.68, -12.250, 1.862, 6.272, 28.04, 0.79453, 0.04227, -0.10468, 0.59656,
 15:47:38.079,d7:c3:4a:8c:31:30, 2015-01-01 00:06:07.905, 0.307, 0.321, 0.241, 56.763, -47.791, 169.617, -6.097, -10.492, 104.249, -12.642, 1.960, 5.782, 28.04, 0.79453, 0.04227, -0.10468, 0.59656,
 15:47:38.234,d7:c3:4a:8c:31:30, 2015-01-01 00:06:08.260, 0.17, 0.133, 0.666, 46.753, -10.01, 163.94, -6.542, -9.514, 123.25, -12.642, 1.960, 5.782, 28.04, 0.47693, 0.04584, -0.08939, 0.87311,
 15:47:38.252,d7:c3:4a:8c:31:30, 2015-01-01 00:06:08.260, 0.099, 0.093, 1.136, 23.254, -45.776, 164.612, -6.378, -7.306, 146.003, -12.642, 1.960, 5.782, 28.04, 0.47693, 0.04584, -0.08939, 0.87311,
 15:47:38.485,d7:c3:4a:8c:31:30, 2015-01-01 00:06:08.260, 0.175, -0.013, 0.822, 22.034, 2.38, 168.213, -5.746, -6.108, 168.673, -12.642, 1.960, 5.782, 28.04, 0.47693, 0.04584, -0.08939, 0.87311,
 15:47:38.485,d7:c3:4a:8c:31:30, 2015-01-01 00:06:08.260, 0.181, 0.084, 0.946, 30.64, -9.888, 168.274, -4.444, -5.081, -169.365, -12.642, 1.960, 5.782, 28.04, 0.47693, 0.04584, -0.08939, 0.87311,
 15:47:38.584,d7:c3:4a:8c:31:30, 2015-01-01 00:06:08.260, 0.158, 0.098, 1.095, 20.569, -38.879, 166.626, -2.796, -4.642, -148.837, -14.112, 2.058, 7.546, 28.04, -0.35138, 0.05212, -0.00153, 0.93472,
 15:47:38.720,d7:c3:4a:8c:31:30, 2015-01-01 00:06:08.735, 0.291, 0.351, 0.692, 59.021, 36.621, 171.875, -0.505, -4.449, -128.886, -14.112, 2.058, 7.546, 28.04, -0.35138, 0.05212, -0.00153, 0.93472,
 15:47:38.822,d7:c3:4a:8c:31:30, 2015-01-01 00:06:08.735, 0.273, 0.398, 0.398, 46.387, 5.188, 171.875, 1.879, -6.91, -109.446, -14.112, 2.058, 7.546, 28.04, -0.35138, 0.05212, -0.00153, 0.93472,
 15:47:38.887,d7:c3:4a:8c:31:30, 2015-01-01 00:06:08.735, 0.04, 0.248, 1.061, 20.142, -13.184, 177.124, 2.538, -6.465, -91.274, -14.112, 2.058, 7.546, 28.04, -0.35138, 0.05212, -0.00153, 0.93472,
 15:47:39.084,d7:c3:4a:8c:31:30, 2015-01-01 00:06:08.735, 0.178, -0.021, 0.953, 24.17, 8.362, 177.124, 2.955, -6.971, -73.488, -10.584, 2.156, 7.546, 28.04, -0.85413, 0.00955, 0.0683, 0.51535,
 15:47:39.084,d7:c3:4a:8c:31:30, 2015-01-01 00:06:08.735, 0.343, 0.01, 0.802, 27.283, 17.578, 175.964, 3.252, -7.273, -56.689, -10.584, 2.156, 7.546, 28.04, -0.85413, 0.00955, 0.0683, 0.51535,
 15:47:39.220,d7:c3:4a:8c:31:30, 2015-01-01 00:06:09.125, -0.007, -0.199, 1.701, 31.067, -25.879, 173.523, 3.214, -9.992, -41.127, -10.584, 2.156, 7.546, 28.04, -0.85413, 0.00955, 0.0683, 0.51535,
 15:47:39.316,d7:c3:4a:8c:31:30, 2015-01-01 00:06:09.125, -0.019, 0.08, 1.287, 19.165, 8.85, 177.124, 2.516, -9.487, -25.972, -10.584, 2.156, 7.546, 28.04, -0.85413, 0.00955, 0.0683, 0.51535,
 15:47:39.392,d7:c3:4a:8c:31:30, 2015-01-01 00:06:09.125, 0.008, 0.27, 1.402, 15.442, 18.005, 174.622, 2.054, -9.794, -11.536, -10.094, 1.862, 6.468, 28.04, -0.85413, 0.00955, 0.0683, 0.51535,
